	CDC20_ENSG00000117399	DDB2_ENSG00000134574	EDA2R_ENSG00000131080	MDM2_ENSG00000135679	MYBL2_ENSG00000101057	RPS27L_ENSG00000185088	UBE2C_ENSG00000175063	ABCA4_ENSG00000198691	ABCC4_ENSG00000125257	ABHD14A-ACY1_ENSG00000114786	ABI3BP_ENSG00000154175	ACAT1_ENSG00000075239	ACER1_ENSG00000167769	ACTL6A_ENSG00000136518	ADAM11_ENSG00000073670	ADAM15_ENSG00000143537	ADAM22_ENSG00000008277	ADAP1_ENSG00000105963	ADARB1_ENSG00000197381	ADCY9_ENSG00000162104	ADH5_ENSG00000197894	ADNP2_ENSG00000101544	AGAP4_ENSG00000188234	AK4_ENSG00000162433	AK8_ENSG00000165695	AKNA_ENSG00000106948	AKR1C2_ENSG00000151632	AKT3_ENSG00000117020	AKTIP_ENSG00000166971	ALDH3A1_ENSG00000108602	ALS2_ENSG00000003393	AMY1C_ENSG00000187733	ANKRD23_ENSG00000163126	ANKRD36_ENSG00000135976	ANKS1B_ENSG00000185046	ANXA3_ENSG00000138772	AP2A2_ENSG00000183020	AP5Z1_ENSG00000242802	APOL6_ENSG00000221963	APPL1_ENSG00000157500	ARHGAP21_ENSG00000107863	ARHGAP42_ENSG00000165895	ARHGAP9_ENSG00000123329	ARHGEF10L_ENSG00000074964	ARL8B_ENSG00000134108	ARPP19_ENSG00000128989	ASS1_ENSG00000130707	ATAD2B_ENSG00000119778	ATL2_ENSG00000119787	ATRNL1_ENSG00000107518	AVPR1A_ENSG00000166148	B3GALT1_ENSG00000172318	B3GALT4_ENSG00000235863	BANP_ENSG00000172530	BCL2L2-PABPN1_ENSG00000258643	BFSP1_ENSG00000125864	C16orf46_ENSG00000166455	C17orf77_ENSG00000182352	C1RL_ENSG00000139178	C22orf15_ENSG00000169314	C5orf58_ENSG00000234511	CA3_ENSG00000164879	CABP2_ENSG00000167791	CACNG3_ENSG00000006116	CAPZA2_ENSG00000198898	CARD11_ENSG00000198286	CARD8_ENSG00000105483	CBWD3_ENSG00000196873	CCDC172_ENSG00000182645	CCL22_ENSG00000102962	CCZ1B_ENSG00000146574	CD164L2_ENSG00000174950	CDC40_ENSG00000168438	CDR2_ENSG00000140743	CDY2A_ENSG00000182415	CENPB_ENSG00000125817	CENPJ_ENSG00000151849	CERS1_ENSG00000223802	CES5A_ENSG00000159398	CHCHD7_ENSG00000170791	CHD5_ENSG00000116254	CHDH_ENSG00000016391	CHMP3_ENSG00000115561	CHMP4B_ENSG00000101421	CHRNA3_ENSG00000080644	CIPC_ENSG00000198894	CMSS1_ENSG00000184220	CMTM2_ENSG00000140932	CNN1_ENSG00000130176	CNOT6_ENSG00000113300	CNPPD1_ENSG00000115649	CNP_ENSG00000173786	CNST_ENSG00000162852	CNTN4_ENSG00000144619	COL15A1_ENSG00000204291	CORO1B_ENSG00000172725	COX5B_ENSG00000135940	COX7A1_ENSG00000161281	COX7C_ENSG00000127184	CPSF4_ENSG00000160917
TCGA-19-1787-01	132.78875188039825	25.399764252099047	1.679977017469785	48.51874287622534	34.90976340490527	96.18133196288682	180.7299779031723	0.1700037656548274	19.75063258400315	0.6200149910276705	9.460048001953142	81.89947988166941	0.0199995176441048	42.898829237943325	0.4200022941375064	60.84118247870836	8.910078188525803	13.220372092058808	6.250056316568326	5.789949837759516	77.39032742546541	14.920286254657045	5.58997541085783	23.81072115639345	3.520036054252604	12.48033199288519	0.2199972005936865	10.120140752076605	25.91012948673622	9.600101962083476	10.59979090172886	-1.0892982836704576e-08	1.3299902472237433	1.5600318790307848	9.699774935670192	1.0500271956803806	47.74142690110817	23.549732048423795	7.410163226811052	18.760457446652296	41.06862872201295	4.599848655822311	15.189526825801533	32.63064924953197	47.75135569196926	91.44828594226792	42.05967214679954	1.4400296299387756	19.38979435000625	0.2000045410595679	0.2599960720976136	0.370002290777625	3.0599935396453355	18.17042934807324	0.4599876480687464	2.300062229393785	2.700011907444717	-1.0892982836704576e-08	12.299968469708151	0.4000071874053119	0.2000045410595679	0.599984629986704	-1.0892982836704576e-08	0.0099996391023943	134.2882490821354	3.119981920694814	13.719869464111984	23.34979882655699	-1.0892982836704576e-08	0.2999926159788371	58.411288368118136	0.0199995176441048	7.899806891562981	14.040255159439242	-1.0892982836704576e-08	99.67677777225266	4.120015814480298	246.2182927864181	0.2199972005936865	24.059588085817232	0.0899993468124429	6.009979083919686	53.28926122539821	117.5627929364028	0.0299997415975628	18.1301684952323	29.219318532046604	1.8600283075878847	2.23993375269641	12.940204526755828	61.71189204812484	227.11727712693929	8.210239411142949	0.2300056431117058	3.209949554863814	61.75040256434565	296.830419793772	5.230047970196154	807.2088674279969	125.37348808724406
TCGA-44-6778-01	32.34017074579186	18.79039153941845	1.1999699057263682	40.909520855070696	34.36952539255581	84.91708899821836	77.04242846318913	0.279991812670302	10.839805112641182	0.4500002067619866	64.38164756874666	40.92937557999764	0.060001985048514	46.82052437082406	0.0499985486239811	63.45127562177943	3.990137548495556	8.439918531689925	10.49014327916173	6.559928504902855	92.57074421377398	11.540029355766617	7.690153573491691	14.160478600355871	0.760016690419679	33.39955105697341	334.62366979469215	15.810474418136147	23.80082019895209	2.109961109530594	10.890267830991656	19.369643815637293	1.0299683187947888	3.6500210837339018	1.7199438181580826	30.68056141981204	43.20021552392786	16.73983983454159	24.35997550130292	15.740487823099722	18.319665432502727	2.7399955766871456	22.95978401882124	14.279751543567626	43.54897543685609	54.04065679512205	44.90075720446726	4.720024598492897	24.76003989667824	0.2000045410595679	0.0899993468124429	0.2000045410595679	6.4298079259452114	11.000283918658564	2.160001389747634	1.369972848999533	2.510066089792934	-1.0892982836704576e-08	20.179639677470195	0.1200017652742898	1.4700028074304168	2.0499609167707646	-1.0892982836704576e-08	-1.0892982836704576e-08	105.79930674400894	8.079810491027574	33.81888854089401	23.94976778868305	-1.0892982836704576e-08	3.620029674969686	27.75061834399948	0.5399998128169408	11.6501463278988	12.76026992954022	-1.0892982836704576e-08	43.89142273854853	3.979914813705257	0.7500079057650569	-1.0892982836704576e-08	34.75041940231341	1.099988958039587	1.6699864098582082	78.39999180322027	107.6934430777222	0.2999926159788371	13.890206473307252	21.34953032167444	1.5899626865577787	5.939976162925084	13.5798323696029	53.500224269646246	38.23076765618657	9.829739875923888	2.129954811483401	5.58997541085783	63.68922219648532	107.67105097608182	34.801040717394564	420.97669919637497	26.450910129151847
TCGA-F4-6854-01	71.31233654494395	14.520312990907106	0.5000060742414588	16.32953329888845	73.3884103110249	79.37879877233031	218.19789721159145	0.060001985048514	8.349716571747917	1.0900369787029571	3.7698767573548433	40.70868067581095	0.0299997415975628	52.858834393423145	0.1200017652742898	116.2017176957316	0.3800097970829733	132.06360065388657	5.270085158055888	6.960026175879852	130.50750342376836	5.429932754481593	3.530056730882022	20.21043709104416	0.5300059750860837	19.53008240599645	2.709952809689756	3.239912341672036	23.61020882301329	1.4999750542458536	4.460101583452564	0.0199995176441048	2.020042976142629	1.2700316893056665	0.409997065989814	141.54233432128885	47.37879331477765	38.67053162952165	13.820094855004369	11.899910099476042	19.70960289289868	2.900099948450757	4.5299073805081855	45.06913917690847	30.62956343979636	15.50978717360337	607.9452639397673	2.329920823549805	22.62955404146689	0.1200017652742898	0.1899941029442881	0.1800048174105189	2.619968473111358	11.21977174281429	8.56012268153502	0.5700147825599464	1.2299737523187162	0.1499978591232875	11.260288478254113	0.0499985486239811	0.1200017652742898	1.1999699057263682	-1.0892982836704576e-08	-1.0892982836704576e-08	124.4902038970062	1.4099824073573504	12.259959681662266	19.91974917692922	-1.0892982836704576e-08	1.53002729151019	30.559579597661862	0.2199972005936865	9.320098578618316	29.209193296014885	-1.0892982836704576e-08	30.938972298799	6.369912397641938	0.2300056431117058	-1.0892982836704576e-08	49.73091223618773	0.1200017652742898	24.51072310416282	93.20171007971636	328.055387160585	1.6100485820975006	5.5799085257746	42.72078435440027	0.1099975701524568	71.89800996169681	10.900086281054149	67.47020393725793	57.8391745120695	6.559928504902855	0.7899728059120321	22.290163256780342	168.87260010418225	369.260745288582	15.650185139741604	836.7183563435751	35.71008345340811
TCGA-05-4420-01	60.12012081488559	13.5798323696029	0.0499985486239811	29.15053607692298	51.409815792450175	63.91919923745763	127.51195336103098	0.4599876480687464	11.75968347440022	1.2200311451655264	0.7500079057650569	66.00841924076366	0.0299997415975628	59.97860017095774	0.060001985048514	153.91506385896673	0.319989942599089	26.170051771902944	1.4299765200229126	2.5400063839842084	93.53176942237342	9.000091764025788	4.489885688294433	8.400226714500446	1.2299737523187162	4.679945604067229	7.61007375180221	1.3199721036446743	23.460120291475008	0.6900203008692773	5.160176613707304	0.2999926159788371	0.8000143535812515	1.0700308231914548	0.0499985486239811	63.57895102190948	34.04940375307368	17.859493020429483	2.870092874910106	11.75968347440022	11.269659251338618	0.969970924342351	4.729851907278191	3.829944167613955	37.43877863991776	60.76110730320611	95.43092043405926	2.779992781596899	91.46730426398835	0.0199995176441048	0.7399766574552298	0.0099996391023943	17.220035626401287	12.170204132487353	4.900081032895244	1.2500157909148952	1.2200311451655264	-1.0892982836704576e-08	33.339411370335874	0.1499978591232875	2.529986829300426	0.2599960720976136	-1.0892982836704576e-08	-1.0892982836704576e-08	133.56416696611473	1.2299737523187162	5.859809724740107	13.970354603204203	-1.0892982836704576e-08	0.3399896842354512	37.49071718666711	1.880000197056386	6.40978044294621	13.809560813193356	-1.0892982836704576e-08	45.16921889551011	3.180043278365055	1.169966660228584	-1.0892982836704576e-08	33.54107417654834	0.0899993468124429	1.8600283075878847	59.25954544174875	158.71458613924892	0.4400151127009332	6.729902692357638	23.84044874686399	4.8800786553700926	5.119909276097569	5.810054559227364	26.39047355552261	42.15014744923838	6.060185515590479	0.7200144109086911	5.930101248820002	85.41888200512766	296.27542006935454	18.73057103794976	520.6237184304032	32.130134145953704
TCGA-R6-A8WC-01	65.22159783136897	18.79039153941845	0.1499978591232875	65.05904882714086	90.74738101455029	79.6488643711662	109.27251786585128	0.0099996391023943	21.469739848779888	1.3399914139149067	0.3600073211340893	26.9693062785596	-1.0892982836704576e-08	77.707472601283	0.1700037656548274	90.00816479443962	3.019945171125652	77.41178783253396	6.260029939363821	11.460309642830351	70.06778622128522	13.34004711116041	17.40002035869728	13.640212698704588	0.4700003379150708	23.979668971029376	21.180017639555366	1.4099824073573504	13.980042165321336	8.68023321696654	7.839795322734965	-1.0892982836704576e-08	2.6099955521295404	7.709903964266841	0.1099975701524568	68.80202066638255	43.0000505105234	26.87040777421249	49.29846208226392	43.73956649202504	45.4707934080261	7.6699220443245775	1.790043031685128	54.92053337189642	63.61862663350188	84.20785248669193	321.7944238775881	8.040139731681062	61.14134584606286	0.0800019247705772	0.2999926159788371	0.0099996391023943	3.580093035897317	17.079756882914968	4.539968408584257	2.459923822338021	1.9900093553412344	3.139947872346528	17.689464201087752	0.920017197435768	0.0499985486239811	2.23993375269641	-1.0892982836704576e-08	-1.0892982836704576e-08	109.47721445388044	24.949554963562345	9.320098578618316	41.69103826253296	-1.0892982836704576e-08	0.370002290777625	42.5995455245896	0.2099978202342263	16.090199845722307	17.569702886700927	-1.0892982836704576e-08	36.94893701403815	12.40013274281644	0.2500070864268381	-1.0892982836704576e-08	36.91053936192073	0.0700018290491679	36.57942673324915	81.36194530542849	96.06806224091976	0.5100017014734363	16.899570005629712	31.70974792671927	0.1899941029442881	4.489885688294433	24.959933765719832	39.730187259159656	67.24143203363508	18.57026263013952	0.7699985222046803	7.9102189481313	50.67040756836715	250.95663007421203	3.009910866767091	376.5757187021869	34.510373814222454
TCGA-IN-7808-01	13.759872108404004	19.29058800572412	0.5300059750860837	21.41029276685352	23.35951217047235	117.35111230709056	45.07851222337917	0.1800048174105189	1.5700183152920284	1.2800262155482685	21.41029276685352	11.990165620973574	0.1899941029442881	22.68924057087133	0.2500070864268381	66.86959272648623	0.940021767145367	71.82827256950712	8.139966036129067	3.289940630339549	18.28034105235667	4.309932580174683	7.929984699701295	0.8699730595540054	1.2200311451655264	78.90154882968359	1.7199438181580826	4.829926824499091	7.880116349702895	0.099998095937749	5.129857649651291	-1.0892982836704576e-08	1.7000198776065194	8.589844746444308	0.8000143535812515	32.61934194121521	35.16964773270421	13.02028570250446	16.34992104838738	7.820254342853082	13.6203708701257	1.2800262155482685	49.47990561161007	40.77928633423905	19.340127570647056	32.95113416116562	153.414453261439	4.100068951554375	11.400091149221002	0.0800019247705772	0.6499867118277892	0.1800048174105189	8.68023321696654	10.380190541279068	7.160193250796867	0.599984629986704	0.7200144109086911	0.0400009173779441	38.220169028752736	0.2300056431117058	0.9599944472116856	0.0700018290491679	-1.0892982836704576e-08	0.0299997415975628	19.999996841363345	19.72053580292271	26.170051771902944	23.1307097545681	-1.0892982836704576e-08	5.859809724740107	18.07996784697573	0.0400009173779441	9.060186665649512	14.85012173831581	-1.0892982836704576e-08	43.98888729926748	2.1800154653305155	0.2500070864268381	0.0199995176441048	20.04024181681454	-1.0892982836704576e-08	4.829926824499091	47.23123829275942	66.24217881175838	0.319989942599089	5.07995610298937	5.660169030042495	0.2099978202342263	2.020042976142629	6.40978044294621	27.549374026844923	23.0107691909428	5.329977156198479	1.4800291126283682	11.119887334222566	53.98075590210527	158.02301368237292	6.329853451460043	321.59374004893994	14.440012579423929
TCGA-AX-A3G6-01	234.0047224279517	21.229993818903896	0.0400009173779441	55.52917356081217	138.26474822352208	51.42050748265394	395.8188078036157	0.4000071874053119	4.599848655822311	0.6700071293324552	0.1899941029442881	20.05969939852949	-1.0892982836704576e-08	129.72285573333346	0.3299992836816577	236.1228565449296	0.2700066202855875	15.570111222532732	0.4599876480687464	1.849993719382628	122.31760090843284	3.73993785544238	10.039783885566012	13.449612825277995	1.369972848999533	21.450401465285367	0.5000060742414588	0.2700066202855875	8.870020019766043	1.369972848999533	5.839937712396191	0.1200017652742898	1.460044378545676	2.350041491346973	4.770027493454861	31.639489185301706	25.03964814589473	70.04836172157128	3.969993501761232	14.0704588329026	8.849751764960496	2.510066089792934	6.420008907180841	29.300446873459894	33.42039390553511	22.88034574085003	122.69122345547848	4.399904300292507	21.450401465285367	0.1599963627194711	0.1400032186304041	0.0400009173779441	7.720065757786254	13.259837611172768	1.8199609696227488	1.900054642058397	0.599984629986704	-1.0892982836704576e-08	22.030563860649256	0.0099996391023943	-1.0892982836704576e-08	1.0100119151242848	-1.0892982836704576e-08	-1.0892982836704576e-08	16.829428467261963	0.5899876960796653	9.960065012948952	12.959953931845329	-1.0892982836704576e-08	0.2599960720976136	109.21194055834462	2.700011907444717	10.590242923352392	4.569968890008187	-1.0892982836704576e-08	58.80127225175413	8.309872826381316	0.9900295632640792	-1.0892982836704576e-08	43.14933934354036	0.0099996391023943	1.6499540875848375	80.69918076667486	216.51052319346417	-1.0892982836704576e-08	5.320009576436799	49.29846208226392	0.0700018290491679	0.6799873952481095	8.610114669500408	49.85862060805611	131.81667323286368	4.429900714601728	0.409997065989814	2.0900100558635657	147.870478341678	432.0326876185694	8.439918531689925	1088.5550659972469	44.028544070031415
TCGA-E1-A7YI-01	77.40105688523867	15.690376382791223	0.3299992836816577	53.45944717207842	65.04101285180883	245.84311326030763	238.16109380658463	0.0499985486239811	6.920093524679905	1.140000955679887	3.580093035897317	42.69118213056072	-1.0892982836704576e-08	61.2686200637567	1.6600551797630465	48.478402068250176	12.830340565391417	21.130159100413582	9.859767901461352	8.740010067514138	112.21231009284384	11.839843893710924	12.950075464758534	5.990013149351428	1.2100009526937137	12.719645712596988	2.9999098921309373	36.050815311912935	32.27970093143147	0.1200017652742898	12.139870825048297	-1.0892982836704576e-08	3.960096915900356	2.619968473111358	23.880143273839533	0.9900295632640792	50.9203936751219	26.039766334074244	6.250056316568326	29.389948234100704	167.64799215818317	12.830340565391417	7.540230778308039	30.04914401622388	38.45935035841354	147.0527740084061	6.910026446750082	7.190037833312207	24.28074165009659	5.999987813038719	0.4700003379150708	4.509852148997108	4.199904531671962	20.55945091821722	10.740324528320423	0.4700003379150708	2.9300142862914043	-1.0892982836704576e-08	7.390155876777829	-1.0892982836704576e-08	0.1400032186304041	1.5700183152920284	-1.0892982836704576e-08	0.4900017256210596	102.13162637016598	1.3799872500586805	40.86134232551942	16.910116419089565	-1.0892982836704576e-08	0.0099996391023943	64.76209374573234	-1.0892982836704576e-08	14.549532028811733	19.080464537786963	-1.0892982836704576e-08	112.196755103156	8.670009708628266	84.89943261386264	0.1499978591232875	10.900086281054149	2.350041491346973	4.2700772739439214	73.6023741916049	134.94140787451587	0.5300059750860837	23.29967751992909	46.63913308238435	0.5899876960796653	0.370002290777625	18.91060627454929	63.46887076725079	301.01575889061974	10.790324175832916	1.0200121257071937	1.7500253862255073	78.08002030593862	203.7551789754816	15.410122049720108	712.9207868073859	58.22937481608909
TCGA-DQ-5624-01	29.41032754911959	19.17991980315436	0.5399998128169408	25.399764252099047	29.229447277825887	54.13063278719506	69.4681239968208	0.6400016608422577	2.880060587319219	0.3899890203948566	2.280053050768928	14.059733970853484	0.4700003379150708	54.3788399448736	0.0499985486239811	58.01986906587758	0.1800048174105189	3.860068099487028	5.160176613707304	8.210239411142949	133.58268431339053	9.490262479678988	1.0800250842883663	15.490446976039523	0.6299947907347176	7.509973978523615	44.059073603872726	4.7601167286877	17.759496400146364	5.730052053905268	5.91983233345623	-1.0892982836704576e-08	5.789949837759516	1.0700308231914548	0.0800019247705772	49.73091223618773	20.18943376078352	26.930076614326723	16.44996148073519	7.959725959961012	33.0403333193887	2.160001389747634	5.889948742178803	9.269839597884015	59.92042383580752	30.64018102392085	142.31953216218963	2.109961109530594	37.27047476699058	0.1499978591232875	0.969970924342351	0.0499985486239811	6.250056316568326	10.170073143812802	13.369671342749658	2.0900100558635657	0.969970924342351	-1.0892982836704576e-08	27.260631515820407	0.0700018290491679	0.2199972005936865	5.759923099795211	-1.0892982836704576e-08	-1.0892982836704576e-08	81.99036080618606	3.960096915900356	7.630147435215087	14.649723436729952	-1.0892982836704576e-08	29.66009595186795	15.470058484291648	4.799883741411965	4.120015814480298	8.499808143620223	-1.0892982836704576e-08	46.310545561822806	1.260027729231554	0.3299992836816577	0.0800019247705772	40.05926334655378	-1.0892982836704576e-08	0.1299964844665897	78.43804143186634	195.04897456416128	0.1599963627194711	5.370034543002878	28.050383082113115	0.1899941029442881	4.3498582048881405	10.539708962281129	36.3494167669592	53.831293988438375	5.58997541085783	0.4599876480687464	15.970191044586084	65.66160130157698	140.51591520186386	52.23961587172501	280.4879254936725	15.120192353855783
TCGA-D5-5538-01	35.321119273953485	10.360062140046956	0.709989421554317	17.510126609521702	33.23097198565139	147.14453954655113	79.58815753062068	0.1099975701524568	1.2700316893056665	1.53002729151019	1.299981096880783	42.29941757247232	0.0199995176441048	70.06778622128522	0.0299997415975628	92.37844668829396	0.6900203008692773	72.11762571132473	2.79003458187362	3.299992818734051	140.60360156305336	5.02984241615285	3.73993785544238	11.899910099476042	0.6900203008692773	13.449612825277995	6.440068344229023	3.080002813898563	22.579413494539075	3.800055261709892	5.239847029403076	-1.0892982836704576e-08	1.7700439324827788	1.2700316893056665	0.1299964844665897	81.63875795659159	48.32072325404001	19.83019898833613	13.160025478480923	16.439702037343746	14.880004400391186	2.9999098921309373	7.6699220443245775	29.449087186001467	43.11047445970208	46.950521332030384	292.74385392181546	2.140022563692785	24.250465064166363	0.2199972005936865	0.3600073211340893	0.0099996391023943	7.509973978523615	9.280126991497813	2.100034715603319	3.8499115851066334	1.0800250842883663	1.2399973200906371	11.089865125998772	0.099998095937749	1.0400215976841116	0.4300120174140545	-1.0892982836704576e-08	-1.0892982836704576e-08	111.9093764096006	1.5500014122422203	8.050178640976604	27.570388147548154	-1.0892982836704576e-08	3.16004155278216	23.109875359606946	0.709989421554317	12.650179569992714	24.46998044612429	-1.0892982836704576e-08	43.34118558827012	5.359992066053249	0.5100017014734363	-1.0892982836704576e-08	78.60132053895245	0.0899993468124429	12.340107810595129	91.10031666606248	207.1444038679165	0.969970924342351	6.500172794429115	30.32955516667332	1.9900093553412344	19.870102305294942	10.900086281054149	67.9913250723125	31.420932361879824	7.13987072207072	0.8799914970163208	21.890516602072903	112.54726447605567	224.8304426235745	20.80027420735144	999.3169785440416	16.500210993762103
